model,labels,precision,recall,f1-score,support
knn,bart,0.46774193548387094,0.8285714285714286,0.5979381443298969,35.0
knn,homer,0.4583333333333333,0.44,0.4489795918367347,25.0
knn,lisa,0.0,0.0,0.0,13.0
knn,marge,0.5714285714285714,0.4,0.47058823529411764,10.0
knn,maggie,0.0,0.0,0.0,12.0
knn,accuracy,0.4631578947368421,0.4631578947368421,0.4631578947368421,0.4631578947368421
knn,macro avg,0.29950076804915515,0.33371428571428574,0.30350119429214983,95.0
knn,weighted avg,0.35309038725846875,0.4631578947368421,0.3879811284253256,95.0
nb,bart,0.5510204081632653,0.7714285714285715,0.6428571428571429,35.0
nb,homer,0.6086956521739131,0.56,0.5833333333333334,25.0
nb,lisa,0.19047619047619047,0.3076923076923077,0.23529411764705882,13.0
nb,marge,0.5,0.1,0.16666666666666669,10.0
nb,maggie,0.0,0.0,0.0,12.0
nb,accuracy,0.4842105263157895,0.4842105263157895,0.4842105263157895,0.4842105263157895
nb,macro avg,0.3700384501626738,0.34782417582417585,0.3256302521008404,95.0
nb,weighted avg,0.4418873270131851,0.4842105263157895,0.4400928792569659,95.0
lsvc,bart,0.717948717948718,0.8,0.7567567567567569,35.0
lsvc,homer,0.4666666666666667,0.56,0.509090909090909,25.0
lsvc,lisa,0.23529411764705882,0.3076923076923077,0.26666666666666666,13.0
lsvc,marge,0.4,0.2,0.26666666666666666,10.0
lsvc,maggie,0.75,0.25,0.375,12.0
lsvc,accuracy,0.5368421052631579,0.5368421052631579,0.5368421052631579,0.5368421052631579
lsvc,macro avg,0.5139819004524887,0.4235384615384616,0.4348361998361998,95.0
lsvc,weighted avg,0.5563546876240375,0.5368421052631579,0.5247062373378163,95.0
svc,bart,0.48484848484848486,0.9142857142857143,0.6336633663366337,35.0
svc,homer,0.6,0.36,0.45,25.0
svc,lisa,0.0,0.0,0.0,13.0
svc,marge,0.0,0.0,0.0,10.0
svc,maggie,0.0,0.0,0.0,12.0
svc,accuracy,0.43157894736842106,0.43157894736842106,0.43157894736842106,0.43157894736842106
svc,macro avg,0.21696969696969698,0.25485714285714284,0.21673267326732676,95.0
svc,weighted avg,0.3365231259968102,0.43157894736842106,0.3518759770713914,95.0
lr,bart,0.6170212765957447,0.8285714285714286,0.7073170731707318,35.0
lr,homer,0.4838709677419355,0.6,0.5357142857142857,25.0
lr,lisa,0.15384615384615385,0.15384615384615385,0.15384615384615385,13.0
lr,marge,0.0,0.0,0.0,10.0
lr,maggie,1.0,0.25,0.4,12.0
lr,accuracy,0.5157894736842106,0.5157894736842106,0.5157894736842106,0.5157894736842106
lr,macro avg,0.4509476796367668,0.3664835164835165,0.35937550254623424,95.0
lr,weighted avg,0.5020265144673627,0.5157894736842106,0.47314689161929213,95.0
rf,bart,0.4782608695652174,0.9428571428571428,0.6346153846153846,35.0
rf,homer,0.5789473684210527,0.44,0.5,25.0
rf,lisa,0.0,0.0,0.0,13.0
rf,marge,0.0,0.0,0.0,10.0
rf,maggie,0.0,0.0,0.0,12.0
rf,accuracy,0.4631578947368421,0.4631578947368421,0.4631578947368421,0.4631578947368421
rf,macro avg,0.21144164759725398,0.2765714285714286,0.22692307692307692,95.0
rf,weighted avg,0.32855594363483076,0.4631578947368421,0.36538461538461536,95.0
lgbm,bart,0.5862068965517241,0.9714285714285714,0.7311827956989247,35.0
lgbm,homer,0.8,0.64,0.7111111111111111,25.0
lgbm,lisa,0.14285714285714285,0.07692307692307693,0.1,13.0
lgbm,marge,0.5,0.2,0.28571428571428575,10.0
lgbm,maggie,1.0,0.5,0.6666666666666666,12.0
lgbm,accuracy,0.6210526315789474,0.6210526315789474,0.6210526315789474,0.6210526315789474
lgbm,macro avg,0.6058128078817734,0.47767032967032963,0.4989349718381977,95.0
lgbm,weighted avg,0.6249935182784547,0.6210526315789474,0.5844875629935052,95.0
xgb,bart,0.5964912280701754,0.9714285714285714,0.7391304347826086,35.0
xgb,homer,0.9523809523809523,0.8,0.8695652173913043,25.0
xgb,lisa,0.4,0.15384615384615385,0.2222222222222222,13.0
xgb,marge,0.625,0.5,0.5555555555555556,10.0
xgb,maggie,1.0,0.3333333333333333,0.5,12.0
xgb,accuracy,0.6842105263157895,0.6842105263157895,0.6842105263157895,0.6842105263157895
xgb,macro avg,0.7147744360902255,0.5517216117216117,0.5772946859903382,95.0
xgb,weighted avg,0.7172285978103152,0.6842105263157895,0.6531909483854563,95.0
ab,bart,0.5813953488372093,0.7142857142857143,0.6410256410256411,35.0
ab,homer,0.35714285714285715,0.2,0.25641025641025644,25.0
ab,lisa,0.0,0.0,0.0,13.0
ab,marge,0.20689655172413793,0.6,0.3076923076923077,10.0
ab,maggie,0.0,0.0,0.0,12.0
ab,accuracy,0.37894736842105264,0.37894736842105264,0.37894736842105264,0.37894736842105264
ab,macro avg,0.22908695154084086,0.3028571428571428,0.24102564102564106,95.0
ab,weighted avg,0.3299618332117383,0.37894736842105264,0.3360323886639677,95.0
et,bart,0.5161290322580645,0.9142857142857143,0.6597938144329898,35.0
et,homer,0.52,0.52,0.52,25.0
et,lisa,0.0,0.0,0.0,13.0
et,marge,0.0,0.0,0.0,10.0
et,maggie,0.0,0.0,0.0,12.0
et,accuracy,0.47368421052631576,0.47368421052631576,0.47368421052631576,0.47368421052631576
et,macro avg,0.2072258064516129,0.2868571428571428,0.23595876288659795,95.0
et,weighted avg,0.3269949066213922,0.47368421052631576,0.37992403689636467,95.0
mlp,bart,0.7586206896551724,0.6285714285714286,0.6875,35.0
mlp,homer,0.4444444444444444,0.64,0.5245901639344263,25.0
mlp,lisa,0.2727272727272727,0.46153846153846156,0.3428571428571428,13.0
mlp,marge,0.5,0.1,0.16666666666666669,10.0
mlp,maggie,0.5,0.25,0.3333333333333333,12.0
mlp,accuracy,0.5052631578947369,0.5052631578947369,0.5052631578947369,0.5052631578947369
mlp,macro avg,0.49515848136537793,0.4160219780219781,0.4109894613583139,95.0
mlp,weighted avg,0.5495609452052284,0.5052631578947369,0.4979059328649492,95.0
dc,bart,0.25,0.2,0.22222222222222224,35.0
dc,homer,0.3157894736842105,0.24,0.2727272727272727,25.0
dc,lisa,0.13043478260869565,0.23076923076923078,0.16666666666666669,13.0
dc,marge,0.05,0.1,0.06666666666666667,10.0
dc,maggie,0.2,0.08333333333333333,0.11764705882352941,12.0
dc,accuracy,0.18947368421052632,0.18947368421052632,0.18947368421052632,0.18947368421052632
dc,macro avg,0.18924485125858123,0.17082051282051283,0.16918597742127153,95.0
dc,weighted avg,0.2235830422738769,0.18947368421052632,0.1983269224755293,95.0
