model,labels,precision,recall,f1-score,support
knn,bart,0.8421052631578947,0.45714285714285713,0.5925925925925926,35.0
knn,homer,0.5217391304347826,0.48,0.4999999999999999,25.0
knn,lisa,0.20588235294117646,0.5384615384615384,0.2978723404255319,13.0
knn,marge,0.6666666666666666,0.2,0.30769230769230765,10.0
knn,maggie,0.25,0.3333333333333333,0.28571428571428575,12.0
knn,accuracy,0.43157894736842106,0.43157894736842106,0.43157894736842106,0.43157894736842106
knn,macro avg,0.4972786826401041,0.4017875457875458,0.3967743052849436,95.0
knn,weighted avg,0.5774768392241878,0.43157894736842106,0.4591429018080754,95.0
nb,bart,0.2777777777777778,0.14285714285714285,0.18867924528301885,35.0
nb,homer,0.7,0.28,0.4,25.0
nb,lisa,0.0625,0.07692307692307693,0.06896551724137931,13.0
nb,marge,0.36363636363636365,0.4,0.380952380952381,10.0
nb,maggie,0.2,0.6666666666666666,0.30769230769230765,12.0
nb,accuracy,0.2631578947368421,0.2631578947368421,0.2631578947368421,0.2631578947368421
nb,macro avg,0.32078282828282834,0.31328937728937734,0.26925789023381735,95.0
nb,weighted avg,0.3586430090377459,0.2631578947368421,0.2631805980092115,95.0
lsvc,bart,0.88,0.6285714285714286,0.7333333333333334,35.0
lsvc,homer,0.3958333333333333,0.76,0.5205479452054795,25.0
lsvc,lisa,0.09090909090909091,0.07692307692307693,0.08333333333333334,13.0
lsvc,marge,0.5555555555555556,0.5,0.5263157894736842,10.0
lsvc,maggie,0.5,0.08333333333333333,0.14285714285714285,12.0
lsvc,accuracy,0.5052631578947369,0.5052631578947369,0.5052631578947369,0.5052631578947369
lsvc,macro avg,0.484459595959596,0.4097655677655678,0.4012775088405946,95.0
lsvc,weighted avg,0.5624548112706007,0.5052631578947369,0.49201202357010054,95.0
svc,bart,0.9444444444444444,0.4857142857142857,0.6415094339622641,35.0
svc,homer,0.35714285714285715,0.6,0.44776119402985076,25.0
svc,lisa,0.35,0.5384615384615384,0.4242424242424242,13.0
svc,marge,0.2,0.3,0.24,10.0
svc,maggie,0.0,0.0,0.0,12.0
svc,accuracy,0.4421052631578947,0.4421052631578947,0.4421052631578947,0.4421052631578947
svc,macro avg,0.37031746031746027,0.38483516483516483,0.3507026104469078,95.0
svc,weighted avg,0.5108855472013367,0.4421052631578947,0.43749485846923186,95.0
lr,bart,0.875,0.6,0.711864406779661,35.0
lr,homer,0.36538461538461536,0.76,0.49350649350649345,25.0
lr,lisa,0.07692307692307693,0.07692307692307693,0.07692307692307693,13.0
lr,marge,0.5,0.2,0.28571428571428575,10.0
lr,maggie,0.5,0.08333333333333333,0.14285714285714285,12.0
lr,accuracy,0.4631578947368421,0.4631578947368421,0.4631578947368421,0.4631578947368421
lr,macro avg,0.4634615384615385,0.344051282051282,0.342173081156132,95.0
lr,weighted avg,0.5448380566801619,0.4631578947368421,0.4507825804882005,95.0
rf,bart,0.5084745762711864,0.8571428571428571,0.6382978723404255,35.0
rf,homer,0.5833333333333334,0.56,0.5714285714285714,25.0
rf,lisa,0.14285714285714285,0.07692307692307693,0.1,13.0
rf,marge,0.5,0.2,0.28571428571428575,10.0
rf,maggie,0.0,0.0,0.0,12.0
rf,accuracy,0.49473684210526314,0.49473684210526314,0.49473684210526314,0.49473684210526314
rf,macro avg,0.34693301049233255,0.33881318681318684,0.31908814589665657,95.0
rf,weighted avg,0.4130219616838707,0.49473684210526314,0.4292977123660215,95.0
lgbm,bart,0.5789473684210527,0.9428571428571428,0.7173913043478262,35.0
lgbm,homer,0.6521739130434783,0.6,0.6250000000000001,25.0
lgbm,lisa,0.16666666666666666,0.07692307692307693,0.10526315789473684,13.0
lgbm,marge,0.3333333333333333,0.1,0.15384615384615383,10.0
lgbm,maggie,0.5,0.25,0.3333333333333333,12.0
lgbm,accuracy,0.5578947368421052,0.5578947368421052,0.5578947368421052,0.5578947368421052
lgbm,macro avg,0.44622425629290613,0.39395604395604394,0.38696678988440997,95.0
lgbm,weighted avg,0.5059737444297242,0.5578947368421052,0.5014797709817583,95.0
xgb,bart,0.6111111111111112,0.9428571428571428,0.7415730337078652,35.0
xgb,homer,0.68,0.68,0.68,25.0
xgb,lisa,0.2222222222222222,0.15384615384615385,0.18181818181818185,13.0
xgb,marge,0.0,0.0,0.0,10.0
xgb,maggie,0.5,0.08333333333333333,0.14285714285714285,12.0
xgb,accuracy,0.5578947368421052,0.5578947368421052,0.5578947368421052,0.5578947368421052
xgb,macro avg,0.40266666666666673,0.37200732600732594,0.349249671676638,95.0
xgb,weighted avg,0.49766081871345025,0.5578947368421052,0.49508398165997225,95.0
ab,bart,0.5714285714285714,0.8,0.6666666666666666,35.0
ab,homer,0.4375,0.28,0.34146341463414637,25.0
ab,lisa,0.2,0.3076923076923077,0.24242424242424246,13.0
ab,marge,0.2222222222222222,0.2,0.2105263157894737,10.0
ab,maggie,0.0,0.0,0.0,12.0
ab,accuracy,0.43157894736842106,0.43157894736842106,0.43157894736842106,0.43157894736842106
ab,macro avg,0.2862301587301587,0.31753846153846155,0.2922161279029058,95.0
ab,weighted avg,0.37641812865497076,0.43157894736842106,0.3908073369325987,95.0
et,bart,0.5357142857142857,0.8571428571428571,0.6593406593406593,35.0
et,homer,0.5833333333333334,0.56,0.5714285714285714,25.0
et,lisa,0.25,0.15384615384615385,0.1904761904761905,13.0
et,marge,0.4,0.2,0.26666666666666666,10.0
et,maggie,0.0,0.0,0.0,12.0
et,accuracy,0.5052631578947369,0.5052631578947369,0.5052631578947369,0.5052631578947369
et,macro avg,0.3538095238095238,0.35419780219780217,0.3375824175824176,95.0
et,weighted avg,0.4271929824561404,0.5052631578947369,0.4474262579525736,95.0
mlp,bart,0.7777777777777778,0.6,0.6774193548387097,35.0
mlp,homer,0.5161290322580645,0.64,0.5714285714285714,25.0
mlp,lisa,0.19047619047619047,0.3076923076923077,0.23529411764705882,13.0
mlp,marge,0.5,0.6,0.5454545454545454,10.0
mlp,maggie,0.25,0.08333333333333333,0.125,12.0
mlp,accuracy,0.5052631578947369,0.5052631578947369,0.5052631578947369,0.5052631578947369
mlp,macro avg,0.4468766001024065,0.44620512820512825,0.4309193178737771,95.0
mlp,weighted avg,0.5326488263669927,0.5052631578947369,0.5053553756739615,95.0
dc,bart,0.36,0.2571428571428571,0.3,35.0
