model,labels,precision,recall,f1-score,support
knn,bart,0.46774193548387094,0.8285714285714286,0.5979381443298969,35.0
knn,homer,0.4583333333333333,0.44,0.4489795918367347,25.0
knn,lisa,0.0,0.0,0.0,13.0
knn,marge,0.5714285714285714,0.4,0.47058823529411764,10.0
knn,maggie,0.0,0.0,0.0,12.0
knn,accuracy,0.4631578947368421,0.4631578947368421,0.4631578947368421,0.4631578947368421
knn,macro avg,0.29950076804915515,0.33371428571428574,0.30350119429214983,95.0
knn,weighted avg,0.35309038725846875,0.4631578947368421,0.3879811284253256,95.0
nb,bart,0.5510204081632653,0.7714285714285715,0.6428571428571429,35.0
nb,homer,0.6086956521739131,0.56,0.5833333333333334,25.0
nb,lisa,0.19047619047619047,0.3076923076923077,0.23529411764705882,13.0
nb,marge,0.5,0.1,0.16666666666666669,10.0
nb,maggie,0.0,0.0,0.0,12.0
nb,accuracy,0.4842105263157895,0.4842105263157895,0.4842105263157895,0.4842105263157895
nb,macro avg,0.3700384501626738,0.34782417582417585,0.3256302521008404,95.0
nb,weighted avg,0.4418873270131851,0.4842105263157895,0.4400928792569659,95.0
lsvc,bart,0.717948717948718,0.8,0.7567567567567569,35.0
lsvc,homer,0.4666666666666667,0.56,0.509090909090909,25.0
lsvc,lisa,0.1875,0.23076923076923078,0.20689655172413793,13.0
lsvc,marge,0.3333333333333333,0.2,0.25,10.0
lsvc,maggie,0.75,0.25,0.375,12.0
lsvc,accuracy,0.5263157894736842,0.5263157894736842,0.5263157894736842,0.5263157894736842
lsvc,macro avg,0.49108974358974355,0.4081538461538462,0.4195488435143607,95.0
lsvc,weighted avg,0.5427968960863698,0.5263157894736842,0.5147727830123475,95.0
svc,bart,0.48484848484848486,0.9142857142857143,0.6336633663366337,35.0
svc,homer,0.6,0.36,0.45,25.0
svc,lisa,0.0,0.0,0.0,13.0
svc,marge,0.0,0.0,0.0,10.0
svc,maggie,0.0,0.0,0.0,12.0
svc,accuracy,0.43157894736842106,0.43157894736842106,0.43157894736842106,0.43157894736842106
svc,macro avg,0.21696969696969698,0.25485714285714284,0.21673267326732676,95.0
svc,weighted avg,0.3365231259968102,0.43157894736842106,0.3518759770713914,95.0
lr,bart,0.6170212765957447,0.8285714285714286,0.7073170731707318,35.0
lr,homer,0.4838709677419355,0.6,0.5357142857142857,25.0
lr,lisa,0.15384615384615385,0.15384615384615385,0.15384615384615385,13.0
lr,marge,0.0,0.0,0.0,10.0
lr,maggie,1.0,0.25,0.4,12.0
lr,accuracy,0.5157894736842106,0.5157894736842106,0.5157894736842106,0.5157894736842106
lr,macro avg,0.4509476796367668,0.3664835164835165,0.35937550254623424,95.0
lr,weighted avg,0.5020265144673627,0.5157894736842106,0.47314689161929213,95.0
rf,bart,0.4647887323943662,0.9428571428571428,0.6226415094339622,35.0
rf,homer,0.5,0.32,0.39024390243902435,25.0
rf,lisa,0.25,0.15384615384615385,0.1904761904761905,13.0
rf,marge,0.0,0.0,0.0,10.0
rf,maggie,0.0,0.0,0.0,12.0
rf,accuracy,0.45263157894736844,0.45263157894736844,0.45263157894736844,0.45263157894736844
rf,macro avg,0.24295774647887325,0.28334065934065933,0.24067232046983542,95.0
rf,weighted avg,0.33702742772424016,0.45263157894736844,0.358155167024787,95.0
lgbm,bart,0.5862068965517241,0.9714285714285714,0.7311827956989247,35.0
lgbm,homer,0.85,0.68,0.7555555555555556,25.0
lgbm,lisa,0.14285714285714285,0.07692307692307693,0.1,13.0
lgbm,marge,0.5,0.2,0.28571428571428575,10.0
lgbm,maggie,1.0,0.5,0.6666666666666666,12.0
lgbm,accuracy,0.631578947368421,0.631578947368421,0.631578947368421,0.631578947368421
lgbm,macro avg,0.6158128078817734,0.48567032967032964,0.5078238607270866,95.0
lgbm,weighted avg,0.6381514130152968,0.631578947368421,0.5961834694262538,95.0
xgb,bart,0.5666666666666667,0.9714285714285714,0.7157894736842105,35.0
xgb,homer,0.9473684210526315,0.72,0.8181818181818181,25.0
xgb,lisa,0.5,0.15384615384615385,0.23529411764705882,13.0
xgb,marge,0.625,0.5,0.5555555555555556,10.0
xgb,maggie,1.0,0.3333333333333333,0.5,12.0
xgb,accuracy,0.6631578947368421,0.6631578947368421,0.6631578947368421,0.6631578947368421
xgb,macro avg,0.7278070175438597,0.5357216117216117,0.5649641930137286,95.0
xgb,weighted avg,0.7186057248384118,0.6631578947368421,0.6328584854574753,95.0
ab,bart,0.5813953488372093,0.7142857142857143,0.6410256410256411,35.0
ab,homer,0.35714285714285715,0.2,0.25641025641025644,25.0
ab,lisa,0.0,0.0,0.0,13.0
ab,marge,0.20689655172413793,0.6,0.3076923076923077,10.0
ab,maggie,0.0,0.0,0.0,12.0
ab,accuracy,0.37894736842105264,0.37894736842105264,0.37894736842105264,0.37894736842105264
ab,macro avg,0.22908695154084086,0.3028571428571428,0.24102564102564106,95.0
ab,weighted avg,0.3299618332117383,0.37894736842105264,0.3360323886639677,95.0
et,bart,0.453125,0.8285714285714286,0.5858585858585857,35.0
et,homer,0.5,0.44,0.46808510638297873,25.0
et,lisa,0.1111111111111111,0.07692307692307693,0.09090909090909093,13.0
et,marge,0.0,0.0,0.0,10.0
et,maggie,0.0,0.0,0.0,12.0
et,accuracy,0.43157894736842106,0.43157894736842106,0.43157894736842106,0.43157894736842106
et,macro avg,0.21284722222222224,0.2690989010989011,0.22897055663013105,95.0
et,weighted avg,0.31372441520467836,0.43157894736842106,0.3514631194362437,95.0
mlp,bart,0.675,0.7714285714285715,0.72,35.0
mlp,homer,0.42424242424242425,0.56,0.4827586206896552,25.0
mlp,lisa,0.26666666666666666,0.3076923076923077,0.28571428571428575,13.0
mlp,marge,0.0,0.0,0.0,10.0
mlp,maggie,0.5,0.25,0.3333333333333333,12.0
mlp,accuracy,0.5052631578947369,0.5052631578947369,0.5052631578947369,0.5052631578947369
mlp,macro avg,0.37318181818181817,0.3778241758241758,0.36436124794745484,95.0
mlp,weighted avg,0.459976076555024,0.5052631578947369,0.47350790770028517,95.0
dc,bart,0.4444444444444444,0.22857142857142856,0.3018867924528302,35.0
dc,homer,0.23529411764705882,0.16,0.19047619047619052,25.0
dc,lisa,0.15384615384615385,0.3076923076923077,0.20512820512820515,13.0
dc,marge,0.11538461538461539,0.3,0.16666666666666669,10.0
dc,maggie,0.0,0.0,0.0,12.0
dc,accuracy,0.2,0.2,0.2,0.2
dc,macro avg,0.18979386626445452,0.19925274725274728,0.17283157094477852,95.0
dc,weighted avg,0.258860575269244,0.2,0.20696079822197003,95.0
