model,labels,precision,recall,f1-score,support
knn,bart,0.0,0.0,0.0,35.0
knn,homer,0.0,0.0,0.0,25.0
knn,lisa,0.1368421052631579,1.0,0.24074074074074076,13.0
knn,marge,0.0,0.0,0.0,10.0
knn,maggie,0.0,0.0,0.0,12.0
knn,accuracy,0.1368421052631579,0.1368421052631579,0.1368421052631579,0.1368421052631579
knn,macro avg,0.02736842105263158,0.2,0.04814814814814815,95.0
knn,weighted avg,0.018725761772853188,0.1368421052631579,0.03294346978557505,95.0
nb,bart,0.3684210526315789,1.0,0.5384615384615384,35.0
nb,homer,0.0,0.0,0.0,25.0
nb,lisa,0.0,0.0,0.0,13.0
nb,marge,0.0,0.0,0.0,10.0
nb,maggie,0.0,0.0,0.0,12.0
nb,accuracy,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.3684210526315789
nb,macro avg,0.07368421052631578,0.2,0.10769230769230768,95.0
nb,weighted avg,0.13573407202216065,0.3684210526315789,0.19838056680161945,95.0
lsvc,bart,0.3684210526315789,1.0,0.5384615384615384,35.0
lsvc,homer,0.0,0.0,0.0,25.0
lsvc,lisa,0.0,0.0,0.0,13.0
lsvc,marge,0.0,0.0,0.0,10.0
lsvc,maggie,0.0,0.0,0.0,12.0
lsvc,accuracy,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.3684210526315789
lsvc,macro avg,0.07368421052631578,0.2,0.10769230769230768,95.0
lsvc,weighted avg,0.13573407202216065,0.3684210526315789,0.19838056680161945,95.0
svc,bart,0.3684210526315789,1.0,0.5384615384615384,35.0
svc,homer,0.0,0.0,0.0,25.0
svc,lisa,0.0,0.0,0.0,13.0
svc,marge,0.0,0.0,0.0,10.0
svc,maggie,0.0,0.0,0.0,12.0
svc,accuracy,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.3684210526315789
svc,macro avg,0.07368421052631578,0.2,0.10769230769230768,95.0
svc,weighted avg,0.13573407202216065,0.3684210526315789,0.19838056680161945,95.0
lr,bart,0.3684210526315789,1.0,0.5384615384615384,35.0
lr,homer,0.0,0.0,0.0,25.0
lr,lisa,0.0,0.0,0.0,13.0
lr,marge,0.0,0.0,0.0,10.0
lr,maggie,0.0,0.0,0.0,12.0
lr,accuracy,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.3684210526315789
lr,macro avg,0.07368421052631578,0.2,0.10769230769230768,95.0
lr,weighted avg,0.13573407202216065,0.3684210526315789,0.19838056680161945,95.0
rf,bart,0.3684210526315789,1.0,0.5384615384615384,35.0
rf,homer,0.0,0.0,0.0,25.0
rf,lisa,0.0,0.0,0.0,13.0
rf,marge,0.0,0.0,0.0,10.0
rf,maggie,0.0,0.0,0.0,12.0
rf,accuracy,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.3684210526315789
rf,macro avg,0.07368421052631578,0.2,0.10769230769230768,95.0
rf,weighted avg,0.13573407202216065,0.3684210526315789,0.19838056680161945,95.0
lgbm,bart,0.3684210526315789,1.0,0.5384615384615384,35.0
lgbm,homer,0.0,0.0,0.0,25.0
lgbm,lisa,0.0,0.0,0.0,13.0
lgbm,marge,0.0,0.0,0.0,10.0
lgbm,maggie,0.0,0.0,0.0,12.0
lgbm,accuracy,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.3684210526315789
lgbm,macro avg,0.07368421052631578,0.2,0.10769230769230768,95.0
lgbm,weighted avg,0.13573407202216065,0.3684210526315789,0.19838056680161945,95.0
xgb,bart,0.3684210526315789,1.0,0.5384615384615384,35.0
xgb,homer,0.0,0.0,0.0,25.0
xgb,lisa,0.0,0.0,0.0,13.0
xgb,marge,0.0,0.0,0.0,10.0
xgb,maggie,0.0,0.0,0.0,12.0
xgb,accuracy,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.3684210526315789
xgb,macro avg,0.07368421052631578,0.2,0.10769230769230768,95.0
xgb,weighted avg,0.13573407202216065,0.3684210526315789,0.19838056680161945,95.0
ab,bart,0.3684210526315789,1.0,0.5384615384615384,35.0
ab,homer,0.0,0.0,0.0,25.0
ab,lisa,0.0,0.0,0.0,13.0
ab,marge,0.0,0.0,0.0,10.0
ab,maggie,0.0,0.0,0.0,12.0
ab,accuracy,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.3684210526315789
ab,macro avg,0.07368421052631578,0.2,0.10769230769230768,95.0
ab,weighted avg,0.13573407202216065,0.3684210526315789,0.19838056680161945,95.0
et,bart,0.3684210526315789,1.0,0.5384615384615384,35.0
et,homer,0.0,0.0,0.0,25.0
et,lisa,0.0,0.0,0.0,13.0
et,marge,0.0,0.0,0.0,10.0
et,maggie,0.0,0.0,0.0,12.0
et,accuracy,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.3684210526315789
et,macro avg,0.07368421052631578,0.2,0.10769230769230768,95.0
et,weighted avg,0.13573407202216065,0.3684210526315789,0.19838056680161945,95.0
mlp,bart,0.3684210526315789,1.0,0.5384615384615384,35.0
mlp,homer,0.0,0.0,0.0,25.0
mlp,lisa,0.0,0.0,0.0,13.0
mlp,marge,0.0,0.0,0.0,10.0
mlp,maggie,0.0,0.0,0.0,12.0
mlp,accuracy,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.3684210526315789
mlp,macro avg,0.07368421052631578,0.2,0.10769230769230768,95.0
mlp,weighted avg,0.13573407202216065,0.3684210526315789,0.19838056680161945,95.0
dc,bart,0.13636363636363635,0.08571428571428572,0.10526315789473684,35.0
dc,homer,0.21428571428571427,0.24,0.2264150943396226,25.0
dc,lisa,0.14285714285714285,0.15384615384615385,0.14814814814814817,13.0
dc,marge,0.041666666666666664,0.1,0.058823529411764705,10.0
dc,maggie,0.2857142857142857,0.16666666666666666,0.2105263157894737,12.0
dc,accuracy,0.14736842105263157,0.14736842105263157,0.14736842105263157,0.14736842105263157
dc,macro avg,0.16417748917748917,0.14924542124542123,0.1498352491167492,95.0
dc,weighted avg,0.1666552745500114,0.14736842105263157,0.15142173572972223,95.0
