model,labels,precision,recall,f1-score,support
knn,bart,0.46774193548387094,0.8285714285714286,0.5979381443298969,35.0
knn,homer,0.4583333333333333,0.44,0.4489795918367347,25.0
knn,lisa,0.0,0.0,0.0,13.0
knn,marge,0.5714285714285714,0.4,0.47058823529411764,10.0
knn,maggie,0.0,0.0,0.0,12.0
knn,accuracy,0.4631578947368421,0.4631578947368421,0.4631578947368421,0.4631578947368421
knn,macro avg,0.29950076804915515,0.33371428571428574,0.30350119429214983,95.0
knn,weighted avg,0.35309038725846875,0.4631578947368421,0.3879811284253256,95.0
nb,bart,0.5510204081632653,0.7714285714285715,0.6428571428571429,35.0
nb,homer,0.6086956521739131,0.56,0.5833333333333334,25.0
nb,lisa,0.19047619047619047,0.3076923076923077,0.23529411764705882,13.0
nb,marge,0.5,0.1,0.16666666666666669,10.0
nb,maggie,0.0,0.0,0.0,12.0
nb,accuracy,0.4842105263157895,0.4842105263157895,0.4842105263157895,0.4842105263157895
nb,macro avg,0.3700384501626738,0.34782417582417585,0.3256302521008404,95.0
nb,weighted avg,0.4418873270131851,0.4842105263157895,0.4400928792569659,95.0
lsvc,bart,0.717948717948718,0.8,0.7567567567567569,35.0
lsvc,homer,0.4666666666666667,0.56,0.509090909090909,25.0
lsvc,lisa,0.23529411764705882,0.3076923076923077,0.26666666666666666,13.0
lsvc,marge,0.4,0.2,0.26666666666666666,10.0
lsvc,maggie,0.75,0.25,0.375,12.0
lsvc,accuracy,0.5368421052631579,0.5368421052631579,0.5368421052631579,0.5368421052631579
lsvc,macro avg,0.5139819004524887,0.4235384615384616,0.4348361998361998,95.0
lsvc,weighted avg,0.5563546876240375,0.5368421052631579,0.5247062373378163,95.0
svc,bart,0.48484848484848486,0.9142857142857143,0.6336633663366337,35.0
svc,homer,0.6,0.36,0.45,25.0
svc,lisa,0.0,0.0,0.0,13.0
svc,marge,0.0,0.0,0.0,10.0
svc,maggie,0.0,0.0,0.0,12.0
svc,accuracy,0.43157894736842106,0.43157894736842106,0.43157894736842106,0.43157894736842106
svc,macro avg,0.21696969696969698,0.25485714285714284,0.21673267326732676,95.0
svc,weighted avg,0.3365231259968102,0.43157894736842106,0.3518759770713914,95.0
lr,bart,0.6170212765957447,0.8285714285714286,0.7073170731707318,35.0
lr,homer,0.4838709677419355,0.6,0.5357142857142857,25.0
lr,lisa,0.15384615384615385,0.15384615384615385,0.15384615384615385,13.0
lr,marge,0.0,0.0,0.0,10.0
lr,maggie,1.0,0.25,0.4,12.0
lr,accuracy,0.5157894736842106,0.5157894736842106,0.5157894736842106,0.5157894736842106
lr,macro avg,0.4509476796367668,0.3664835164835165,0.35937550254623424,95.0
lr,weighted avg,0.5020265144673627,0.5157894736842106,0.47314689161929213,95.0
rf,bart,0.4788732394366197,0.9714285714285714,0.6415094339622641,35.0
rf,homer,0.6,0.36,0.45,25.0
rf,lisa,0.14285714285714285,0.07692307692307693,0.1,13.0
rf,marge,0.0,0.0,0.0,10.0
rf,maggie,0.0,0.0,0.0,12.0
rf,accuracy,0.4631578947368421,0.4631578947368421,0.4631578947368421,0.4631578947368421
rf,macro avg,0.24434607645875248,0.2816703296703297,0.23830188679245284,95.0
rf,weighted avg,0.3538705919728899,0.4631578947368421,0.3684508440913604,95.0
lgbm,bart,0.5666666666666667,0.9714285714285714,0.7157894736842105,35.0
lgbm,homer,0.8,0.64,0.7111111111111111,25.0
lgbm,lisa,0.14285714285714285,0.07692307692307693,0.1,13.0
lgbm,marge,0.5,0.2,0.28571428571428575,10.0
lgbm,maggie,1.0,0.3333333333333333,0.5,12.0
lgbm,accuracy,0.6,0.6,0.6,0.6
lgbm,macro avg,0.6019047619047619,0.4443369963369963,0.4625229741019215,95.0
lgbm,weighted avg,0.6177944862155388,0.6,0.5577637075144,95.0
xgb,bart,0.6071428571428571,0.9714285714285714,0.7472527472527473,35.0
xgb,homer,0.782608695652174,0.72,0.7499999999999999,25.0
xgb,lisa,0.2857142857142857,0.15384615384615385,0.2,13.0
xgb,marge,0.6,0.3,0.4,10.0
xgb,maggie,1.0,0.3333333333333333,0.5,12.0
xgb,accuracy,0.6421052631578947,0.6421052631578947,0.6421052631578947,0.6421052631578947
xgb,macro avg,0.6550931677018633,0.49572161172161167,0.5194505494505495,95.0
xgb,weighted avg,0.6582052958483164,0.6421052631578947,0.6053036437246962,95.0
ab,bart,0.5365853658536586,0.6285714285714286,0.5789473684210527,35.0
ab,homer,0.34375,0.44,0.3859649122807018,25.0
ab,lisa,0.0,0.0,0.0,13.0
ab,marge,0.16666666666666666,0.1,0.125,10.0
ab,maggie,1.0,0.3333333333333333,0.5,12.0
ab,accuracy,0.4,0.4,0.4,0.4
ab,macro avg,0.409400406504065,0.30038095238095236,0.3179824561403509,95.0
ab,weighted avg,0.43200952075310234,0.4,0.39118190212373033,95.0
et,bart,0.4461538461538462,0.8285714285714286,0.58,35.0
et,homer,0.45454545454545453,0.4,0.4255319148936171,25.0
et,lisa,0.0,0.0,0.0,13.0
et,marge,0.0,0.0,0.0,10.0
et,maggie,0.0,0.0,0.0,12.0
et,accuracy,0.4105263157894737,0.4105263157894737,0.4105263157894737,0.4105263157894737
et,macro avg,0.18013986013986014,0.24571428571428572,0.2011063829787234,95.0
et,weighted avg,0.2839896945160103,0.4105263157894737,0.3256662933930571,95.0
mlp,bart,0.7027027027027027,0.7428571428571429,0.7222222222222223,35.0
mlp,homer,0.5,0.56,0.5283018867924528,25.0
mlp,lisa,0.2727272727272727,0.46153846153846156,0.3428571428571428,13.0
mlp,marge,1.0,0.2,0.33333333333333337,10.0
mlp,maggie,0.5,0.25,0.3333333333333333,12.0
mlp,accuracy,0.5368421052631579,0.5368421052631579,0.5368421052631579,0.5368421052631579
mlp,macro avg,0.595085995085995,0.44287912087912085,0.4520095837076969,95.0
mlp,weighted avg,0.5962110435794646,0.5368421052631579,0.5292189593480557,95.0
dc,bart,0.3333333333333333,0.22857142857142856,0.2711864406779661,35.0
dc,homer,0.2962962962962963,0.32,0.30769230769230765,25.0
dc,lisa,0.07142857142857142,0.15384615384615385,0.0975609756097561,13.0
dc,marge,0.16666666666666666,0.2,0.1818181818181818,10.0
dc,maggie,0.25,0.08333333333333333,0.125,12.0
dc,accuracy,0.22105263157894736,0.22105263157894736,0.22105263157894736,0.22105263157894736
dc,macro avg,0.2235449735449735,0.19715018315018315,0.19665158115964232,95.0
dc,weighted avg,0.25967697020328595,0.22105263157894736,0.22916113281205422,95.0
