model,labels,precision,recall,f1-score,support
knn,bart,0.49122807017543857,0.8,0.6086956521739131,35.0
knn,homer,0.42424242424242425,0.56,0.4827586206896552,25.0
knn,lisa,0.0,0.0,0.0,13.0
knn,marge,0.6666666666666666,0.2,0.30769230769230765,10.0
knn,maggie,1.0,0.08333333333333333,0.15384615384615385,12.0
knn,accuracy,0.47368421052631576,0.47368421052631576,0.47368421052631576,0.47368421052631576
knn,macro avg,0.5164274322169059,0.32866666666666666,0.310598546880406,95.0
knn,weighted avg,0.48911273398808025,0.47368421052631576,0.403119897541108,95.0
nb,bart,0.379746835443038,0.8571428571428571,0.5263157894736843,35.0
nb,homer,0.46153846153846156,0.24,0.3157894736842105,25.0
nb,lisa,0.0,0.0,0.0,13.0
nb,marge,0.0,0.0,0.0,10.0
nb,maggie,0.0,0.0,0.0,12.0
nb,accuracy,0.37894736842105264,0.37894736842105264,0.37894736842105264,0.37894736842105264
nb,macro avg,0.16825705939629992,0.2194285714285714,0.16842105263157897,95.0
nb,weighted avg,0.2613642187259776,0.37894736842105264,0.2770083102493075,95.0
lsvc,bart,0.6,0.8571428571428571,0.7058823529411764,35.0
lsvc,homer,0.5172413793103449,0.6,0.5555555555555556,25.0
lsvc,lisa,0.3333333333333333,0.15384615384615385,0.21052631578947367,13.0
lsvc,marge,0.6,0.3,0.4,10.0
lsvc,maggie,0.6,0.25,0.35294117647058826,12.0
lsvc,accuracy,0.5578947368421052,0.5578947368421052,0.5578947368421052,0.5578947368421052
lsvc,macro avg,0.5301149425287356,0.43219780219780224,0.44498108015135884,95.0
lsvc,weighted avg,0.54173018753781,0.5578947368421052,0.5217569206814766,95.0
svc,bart,0.3723404255319149,1.0,0.5426356589147286,35.0
svc,homer,1.0,0.04,0.07692307692307693,25.0
svc,lisa,0.0,0.0,0.0,13.0
svc,marge,0.0,0.0,0.0,10.0
svc,maggie,0.0,0.0,0.0,12.0
svc,accuracy,0.37894736842105264,0.37894736842105264,0.37894736842105264,0.37894736842105264
svc,macro avg,0.274468085106383,0.20800000000000002,0.12391174716756112,95.0
svc,weighted avg,0.4003359462486002,0.37894736842105264,0.22016131563255184,95.0
lr,bart,0.5263157894736842,0.8571428571428571,0.6521739130434783,35.0
lr,homer,0.4444444444444444,0.48,0.4615384615384615,25.0
lr,lisa,0.25,0.07692307692307693,0.11764705882352941,13.0
lr,marge,0.0,0.0,0.0,10.0
lr,maggie,0.5,0.25,0.3333333333333333,12.0
lr,accuracy,0.4842105263157895,0.4842105263157895,0.4842105263157895,0.4842105263157895
lr,macro avg,0.34415204678362576,0.33281318681318683,0.3129385533477605,95.0
lr,weighted avg,0.4082333025546322,0.4842105263157895,0.41993642378620166,95.0
rf,bart,0.44155844155844154,0.9714285714285714,0.6071428571428571,35.0
rf,homer,0.6,0.36,0.45,25.0
rf,lisa,0.0,0.0,0.0,13.0
rf,marge,0.0,0.0,0.0,10.0
rf,maggie,0.0,0.0,0.0,12.0
rf,accuracy,0.45263157894736844,0.45263157894736844,0.45263157894736844,0.45263157894736844
rf,macro avg,0.2083116883116883,0.2662857142857143,0.21142857142857144,95.0
rf,weighted avg,0.32057416267942584,0.45263157894736844,0.34210526315789475,95.0
lgbm,bart,0.66,0.9428571428571428,0.7764705882352942,35.0
lgbm,homer,0.6551724137931034,0.76,0.7037037037037037,25.0
lgbm,lisa,0.6666666666666666,0.15384615384615385,0.25,13.0
lgbm,marge,0.3333333333333333,0.1,0.15384615384615383,10.0
lgbm,maggie,0.8,0.6666666666666666,0.7272727272727272,12.0
lgbm,accuracy,0.6631578947368421,0.6631578947368421,0.6631578947368421,0.6631578947368421
lgbm,macro avg,0.6230344827586206,0.5246739926739926,0.5222586346115758,95.0
lgbm,weighted avg,0.642940108892922,0.6631578947368421,0.6135241836480226,95.0
xgb,bart,0.6153846153846154,0.9142857142857143,0.7356321839080461,35.0
xgb,homer,0.6428571428571429,0.72,0.6792452830188679,25.0
xgb,lisa,0.2,0.07692307692307693,0.1111111111111111,13.0
xgb,marge,0.25,0.1,0.14285714285714288,10.0
xgb,maggie,0.8333333333333334,0.4166666666666667,0.5555555555555556,12.0
xgb,accuracy,0.6,0.6,0.6,0.6
xgb,macro avg,0.5083150183150182,0.4455750915750916,0.4448802552901447,95.0
xgb,weighted avg,0.5548409485251591,0.6,0.5501888531782722,95.0
ab,bart,0.9166666666666666,0.6285714285714286,0.7457627118644068,35.0
ab,homer,0.34328358208955223,0.92,0.5,25.0
ab,lisa,0.0,0.0,0.0,13.0
ab,marge,0.25,0.1,0.14285714285714288,10.0
ab,maggie,0.0,0.0,0.0,12.0
ab,accuracy,0.4842105263157895,0.4842105263157895,0.4842105263157895,0.4842105263157895
ab,macro avg,0.30199004975124377,0.32971428571428574,0.2777239709443099,95.0
ab,weighted avg,0.4543728724797067,0.4842105263157895,0.4213712246718492,95.0
et,bart,0.4358974358974359,0.9714285714285714,0.6017699115044248,35.0
et,homer,0.21428571428571427,0.12,0.15384615384615383,25.0
et,lisa,0.0,0.0,0.0,13.0
et,marge,0.0,0.0,0.0,10.0
et,maggie,0.0,0.0,0.0,12.0
et,accuracy,0.3894736842105263,0.3894736842105263,0.3894736842105263,0.3894736842105263
et,macro avg,0.13003663003663005,0.21828571428571428,0.15112321307011573,95.0
et,weighted avg,0.21698476961634855,0.3894736842105263,0.26219053419798644,95.0
mlp,bart,0.6122448979591837,0.8571428571428571,0.7142857142857143,35.0
mlp,homer,0.4411764705882353,0.6,0.5084745762711865,25.0
mlp,lisa,0.5,0.15384615384615385,0.23529411764705882,13.0
mlp,marge,1.0,0.1,0.18181818181818182,10.0
mlp,maggie,0.5714285714285714,0.3333333333333333,0.4210526315789474,12.0
mlp,accuracy,0.5473684210526316,0.5473684210526316,0.5473684210526316,0.5473684210526316
mlp,macro avg,0.6249699879951981,0.4088644688644689,0.41218504432021785,95.0
mlp,weighted avg,0.5875276426360018,0.5473684210526316,0.5014894877191644,95.0
dc,bart,0.3103448275862069,0.2571428571428571,0.28125,35.0
dc,homer,0.4,0.4,0.4000000000000001,25.0
dc,lisa,0.13333333333333333,0.15384615384615385,0.14285714285714288,13.0
dc,marge,0.15384615384615385,0.2,0.17391304347826086,10.0
dc,maggie,0.07692307692307693,0.08333333333333333,0.08,12.0
dc,accuracy,0.25263157894736843,0.25263157894736843,0.25263157894736843,0.25263157894736843
dc,macro avg,0.21488947833775424,0.21886446886446884,0.2156040372670808,95.0
dc,weighted avg,0.2637572711619899,0.25263157894736843,0.2568423504413207,95.0
