model,labels,precision,recall,f1-score,support
knn,bart,0.49122807017543857,0.8,0.6086956521739131,35.0
knn,homer,0.42424242424242425,0.56,0.4827586206896552,25.0
knn,lisa,0.0,0.0,0.0,13.0
knn,marge,0.6666666666666666,0.2,0.30769230769230765,10.0
knn,maggie,1.0,0.08333333333333333,0.15384615384615385,12.0
knn,accuracy,0.47368421052631576,0.47368421052631576,0.47368421052631576,0.47368421052631576
knn,macro avg,0.5164274322169059,0.32866666666666666,0.310598546880406,95.0
knn,weighted avg,0.48911273398808025,0.47368421052631576,0.403119897541108,95.0
nb,bart,0.379746835443038,0.8571428571428571,0.5263157894736843,35.0
nb,homer,0.46153846153846156,0.24,0.3157894736842105,25.0
nb,lisa,0.0,0.0,0.0,13.0
nb,marge,0.0,0.0,0.0,10.0
nb,maggie,0.0,0.0,0.0,12.0
nb,accuracy,0.37894736842105264,0.37894736842105264,0.37894736842105264,0.37894736842105264
nb,macro avg,0.16825705939629992,0.2194285714285714,0.16842105263157897,95.0
nb,weighted avg,0.2613642187259776,0.37894736842105264,0.2770083102493075,95.0
lsvc,bart,0.6,0.8571428571428571,0.7058823529411764,35.0
lsvc,homer,0.5172413793103449,0.6,0.5555555555555556,25.0
lsvc,lisa,0.3333333333333333,0.15384615384615385,0.21052631578947367,13.0
lsvc,marge,0.6,0.3,0.4,10.0
lsvc,maggie,0.6,0.25,0.35294117647058826,12.0
lsvc,accuracy,0.5578947368421052,0.5578947368421052,0.5578947368421052,0.5578947368421052
lsvc,macro avg,0.5301149425287356,0.43219780219780224,0.44498108015135884,95.0
lsvc,weighted avg,0.54173018753781,0.5578947368421052,0.5217569206814766,95.0
svc,bart,0.3723404255319149,1.0,0.5426356589147286,35.0
svc,homer,1.0,0.04,0.07692307692307693,25.0
svc,lisa,0.0,0.0,0.0,13.0
svc,marge,0.0,0.0,0.0,10.0
svc,maggie,0.0,0.0,0.0,12.0
svc,accuracy,0.37894736842105264,0.37894736842105264,0.37894736842105264,0.37894736842105264
svc,macro avg,0.274468085106383,0.20800000000000002,0.12391174716756112,95.0
svc,weighted avg,0.4003359462486002,0.37894736842105264,0.22016131563255184,95.0
lr,bart,0.5263157894736842,0.8571428571428571,0.6521739130434783,35.0
lr,homer,0.4444444444444444,0.48,0.4615384615384615,25.0
lr,lisa,0.25,0.07692307692307693,0.11764705882352941,13.0
lr,marge,0.0,0.0,0.0,10.0
lr,maggie,0.5,0.25,0.3333333333333333,12.0
lr,accuracy,0.4842105263157895,0.4842105263157895,0.4842105263157895,0.4842105263157895
lr,macro avg,0.34415204678362576,0.33281318681318683,0.3129385533477605,95.0
lr,weighted avg,0.4082333025546322,0.4842105263157895,0.41993642378620166,95.0
rf,bart,0.4155844155844156,0.9142857142857143,0.5714285714285715,35.0
rf,homer,0.4666666666666667,0.28,0.35000000000000003,25.0
rf,lisa,0.0,0.0,0.0,13.0
rf,marge,0.0,0.0,0.0,10.0
rf,maggie,0.0,0.0,0.0,12.0
rf,accuracy,0.4105263157894737,0.4105263157894737,0.4105263157894737,0.4105263157894737
rf,macro avg,0.17645021645021647,0.23885714285714288,0.1842857142857143,95.0
rf,weighted avg,0.2759170653907496,0.4105263157894737,0.3026315789473685,95.0
lgbm,bart,0.6296296296296297,0.9714285714285714,0.7640449438202247,35.0
lgbm,homer,0.7241379310344828,0.84,0.7777777777777777,25.0
lgbm,lisa,0.5,0.07692307692307693,0.13333333333333336,13.0
lgbm,marge,0.3333333333333333,0.1,0.15384615384615383,10.0
lgbm,maggie,1.0,0.5833333333333334,0.7368421052631579,12.0
lgbm,accuracy,0.6736842105263158,0.6736842105263158,0.6736842105263158,0.6736842105263158
lgbm,macro avg,0.6374201787994892,0.5143369963369964,0.5131688628081295,95.0
lgbm,weighted avg,0.6523559857498151,0.6736842105263158,0.613683343295843,95.0
xgb,bart,0.6078431372549019,0.8857142857142857,0.7209302325581395,35.0
xgb,homer,0.6666666666666666,0.8,0.7272727272727272,25.0
xgb,lisa,0.25,0.07692307692307693,0.11764705882352941,13.0
xgb,marge,0.3333333333333333,0.1,0.15384615384615383,10.0
xgb,maggie,0.8571428571428571,0.5,0.631578947368421,12.0
xgb,accuracy,0.6210526315789474,0.6210526315789474,0.6210526315789474,0.6210526315789474
xgb,macro avg,0.5429971988795518,0.4725274725274725,0.4702550239737942,95.0
xgb,weighted avg,0.5769497272593248,0.6210526315789474,0.5690652315046478,95.0
ab,bart,0.9166666666666666,0.6285714285714286,0.7457627118644068,35.0
ab,homer,0.34328358208955223,0.92,0.5,25.0
ab,lisa,0.0,0.0,0.0,13.0
ab,marge,0.25,0.1,0.14285714285714288,10.0
ab,maggie,0.0,0.0,0.0,12.0
ab,accuracy,0.4842105263157895,0.4842105263157895,0.4842105263157895,0.4842105263157895
ab,macro avg,0.30199004975124377,0.32971428571428574,0.2777239709443099,95.0
ab,weighted avg,0.4543728724797067,0.4842105263157895,0.4213712246718492,95.0
et,bart,0.4342105263157895,0.9428571428571428,0.5945945945945946,35.0
et,homer,0.2,0.12,0.15,25.0
et,lisa,0.0,0.0,0.0,13.0
et,marge,0.0,0.0,0.0,10.0
et,maggie,0.6666666666666666,0.16666666666666666,0.26666666666666666,12.0
et,accuracy,0.4,0.4,0.4,0.4
et,macro avg,0.2601754385964912,0.2459047619047619,0.20225225225225224,95.0
et,weighted avg,0.29681440443213297,0.4,0.2922190611664296,95.0
mlp,bart,0.54,0.7714285714285715,0.6352941176470589,35.0
mlp,homer,0.5,0.64,0.5614035087719298,25.0
mlp,lisa,0.5,0.23076923076923078,0.3157894736842105,13.0
mlp,marge,0.5,0.1,0.16666666666666669,10.0
mlp,maggie,0.6,0.25,0.35294117647058826,12.0
mlp,accuracy,0.5263157894736842,0.5263157894736842,0.5263157894736842,0.5263157894736842
mlp,macro avg,0.528,0.39843956043956047,0.4064189886480908,95.0
mlp,weighted avg,0.5273684210526317,0.5263157894736842,0.4871326924121449,95.0
dc,bart,0.375,0.42857142857142855,0.39999999999999997,35.0
dc,homer,0.2608695652173913,0.24,0.24999999999999994,25.0
dc,lisa,0.18181818181818182,0.15384615384615385,0.16666666666666669,13.0
dc,marge,0.08333333333333333,0.1,0.0909090909090909,10.0
dc,maggie,0.2222222222222222,0.16666666666666666,0.1904761904761905,12.0
dc,accuracy,0.2736842105263158,0.2736842105263158,0.2736842105263158,0.2736842105263158
dc,macro avg,0.22464866051822577,0.21781684981684984,0.21961038961038964,95.0
dc,weighted avg,0.26853026835864363,0.2736842105263158,0.2695944406470722,95.0
